IdentityCard_Num,PredictVote
1,Blues
2,Pinks
3,Purples
4,Purples
5,Reds
6,Purples
7,Greens
8,Blues
9,Browns
10,Purples
11,Blues
12,Yellows
13,Browns
14,Pinks
15,Blues
16,Yellows
17,Turquoises
18,Browns
19,Browns
20,Turquoises
21,Pinks
22,Reds
23,Oranges
24,Oranges
25,Purples
26,Purples
27,Reds
28,Pinks
29,Oranges
30,Purples
31,Yellows
32,Oranges
33,Greys
34,Greens
35,Purples
36,Yellows
37,Whites
38,Greens
39,Blues
40,Pinks
41,Reds
42,Pinks
43,Purples
44,Browns
45,Browns
46,Pinks
47,Browns
48,Browns
49,Turquoises
50,Pinks
51,Oranges
52,Blues
53,Browns
54,Purples
55,Purples
56,Purples
57,Blues
58,Oranges
59,Greys
60,Purples
61,Oranges
62,Browns
63,Greens
64,Oranges
65,Browns
66,Pinks
67,Browns
68,Whites
69,Greens
70,Browns
71,Pinks
72,Browns
73,Purples
74,Yellows
75,Browns
76,Yellows
77,Browns
78,Browns
79,Purples
80,Blues
81,Turquoises
82,Pinks
83,Pinks
84,Oranges
85,Greys
86,Purples
87,Browns
88,Blues
89,Browns
90,Oranges
91,Browns
92,Browns
93,Browns
94,Oranges
95,Blues
96,Greys
97,Purples
98,Oranges
99,Purples
100,Yellows
101,Whites
102,Browns
103,Pinks
104,Yellows
105,Reds
106,Purples
107,Browns
108,Greens
109,Blues
110,Browns
111,Browns
112,Greens
113,Browns
114,Yellows
115,Greens
116,Reds
117,Browns
118,Blues
119,Blues
120,Greys
121,Blues
122,Pinks
123,Pinks
124,Browns
125,Oranges
126,Greys
127,Greys
128,Greens
129,Oranges
130,Oranges
131,Yellows
132,Reds
133,Pinks
134,Purples
135,Whites
136,Greens
137,Blues
138,Purples
139,Blues
140,Purples
141,Oranges
142,Turquoises
143,Greens
144,Greys
145,Browns
146,Greys
147,Reds
148,Purples
149,Pinks
150,Browns
151,Whites
152,Greys
153,Browns
154,Yellows
155,Pinks
156,Pinks
157,Blues
158,Browns
159,Greens
160,Greys
161,Browns
162,Browns
163,Browns
164,Purples
165,Yellows
166,Greys
167,Purples
168,Blues
169,Yellows
170,Pinks
171,Reds
172,Browns
173,Browns
174,Purples
175,Greens
176,Browns
177,Purples
178,Browns
179,Browns
180,Browns
181,Pinks
182,Oranges
183,Purples
184,Browns
185,Reds
186,Pinks
187,Purples
188,Browns
189,Blues
190,Browns
191,Blues
192,Pinks
193,Browns
194,Purples
195,Blues
196,Pinks
197,Blues
198,Purples
199,Purples
200,Reds
201,Browns
202,Browns
203,Oranges
204,Browns
205,Blues
206,Oranges
207,Purples
208,Greens
209,Browns
210,Blues
211,Whites
212,Browns
213,Browns
214,Purples
215,Purples
216,Browns
217,Browns
218,Browns
219,Whites
220,Purples
221,Browns
222,Blues
223,Pinks
224,Yellows
225,Yellows
226,Oranges
227,Purples
228,Browns
229,Reds
230,Browns
231,Browns
232,Greys
233,Browns
234,Browns
235,Purples
236,Greens
237,Oranges
238,Turquoises
239,Blues
240,Greens
241,Oranges
242,Browns
243,Greens
244,Greens
245,Whites
246,Pinks
247,Blues
248,Turquoises
249,Purples
250,Purples
251,Blues
252,Greens
253,Browns
254,Purples
255,Oranges
256,Greys
257,Browns
258,Blues
259,Greys
260,Greens
261,Blues
262,Yellows
263,Browns
264,Reds
265,Whites
266,Purples
267,Purples
268,Browns
269,Oranges
270,Oranges
271,Browns
272,Browns
273,Purples
274,Purples
275,Blues
276,Browns
277,Reds
278,Pinks
279,Pinks
280,Browns
281,Browns
282,Turquoises
283,Yellows
284,Purples
285,Turquoises
286,Browns
287,Purples
288,Purples
289,Pinks
290,Browns
291,Blues
292,Browns
293,Greys
294,Pinks
295,Purples
296,Whites
297,Browns
298,Purples
299,Yellows
300,Greens
301,Blues
